城市,拼音,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
淮南,huainan,52,32,51,0.67,20,58,89,14
黄冈,huanggang,54,20,56,1.0,43,49,81,12
黄南州,huangnanzhou,32,13,27,0.9,6,46,62,11
黄山,huangshan,31,15,30,0.57,16,23,35,8
黄石,huangshi,40,21,38,0.7,18,54,79,13
呼和浩特,huhehaote,83,42,113,1.18,84,30,88,12
惠州,huizhou,65,24,50,0.78,50,70,116,7
葫芦岛,huludao,121,91,124,1.73,50,70,106,19
呼伦贝尔,hulunbeier,71,29,90,0.45,46,32,68,3
湖州,huzhou,64,45,66,0.85,58,49,75,15
佳木斯,jiamusi,44,20,43,0.6,29,19,47,5
吉安,jian,47,24,46,0.93,39,21,66,24
江门,jiangmen,53,29,53,1.3,53,38,102,4
江阴,jiangyin,65,46,59,1.3,51,72,114,17
胶南,jiaonan,78,6,5,0.45,4,124,132,4
胶州,jiaozhou,54,24,37,0.6,25,80,103,3
焦作,jiaozuo,46,27,45,1.62,37,50,54,6
嘉兴,jiaxing,68,36,56,0.77,43,83,120,6
嘉峪关,jiayuguan,123,39,194,0.25,24,78,87,4
揭阳,jieyang,51,20,30,0.78,12,76,100,9
吉林,jilin,78,47,103,1.04,63,26,87,10
即墨,jimo,62,4,5,0.5,6,115,113,2
济南,jinan,45,31,34,0.88,25,75,63,3
金昌,jinchang,55,10,57,0.17,5,84,97,2
晋城,jincheng,38,11,20,1.75,22,58,74,5
景德镇,jingdezhen,59,34,66,1.02,21,12,47,18
荆门,jingmen,62,40,72,0.94,23,40,65,6
荆州,jingzhou,38,17,37,1.23,44,22,59,12
金华,jinhua,50,22,24,0.5,24,34,98,6
济宁,jining,30,21,28,2.0,21,59,38,7
金坛,jintan,66,18,27,0.75,50,80,118,9
晋中,jinzhong,34,17,33,0.65,35,30,40,4
锦州,jinzhou,97,72,85,1.5,61,58,107,28
九江,jiujiang,52,18,52,0.8,34,20,37,11
酒泉,jiuquan,398,37,497,0.3,11,94,95,7
鸡西,jixi,80,34,107,0.93,33,9,32,5
句容,jurong,49,13,39,0.65,25,56,97,17
开封,kaifeng,77,56,41,1.73,23,52,59,7
喀什地区,kashediqu,62,15,46,0.6,27,87,113,9
克拉玛依,kelamayi,37,11,35,0.68,24,55,72,8
克州,kezhou,70,12,0,0.5,1,106,122,3
库尔勒,kuerle,100,50,148,0.7,33,47,74,7
昆明,kunming,37,9,36,0.52,31,32,50,5
昆山,kunshan,65,19,27,0.9,46,40,116,8
来宾,laibin,51,23,50,0.75,28,31,62,7
莱芜,laiwu,24,13,20,2.0,34,39,46,4
莱西,laixi,64,25,23,0.65,7,100,115,4
莱州,laizhou,47,5,11,0.6,13,87,93,5
廊坊,langfang,89,66,111,1.18,81,10,51,4
兰州,lanzhou,66,36,71,1.06,69,48,117,7
拉萨,lasa,46,11,36,0.42,39,54,90,7
乐山,leshan,65,46,71,0.78,30,69,68,9
凉山州,liangshanzhou,28,15,22,1.22,24,33,54,14
连云港,lianyungang,34,21,29,0.64,29,46,66,8
聊城,liaocheng,58,40,42,0.93,20,63,71,4
辽阳,liaoyang,90,63,127,1.7,62,42,81,18
辽源,liaoyuan,57,39,62,1.5,62,17,78,8
丽江,lijiang,31,15,30,0.83,18,32,42,8
临安,linan,31,14,29,0.4,23,38,60,6
临沧,lincang,25,17,23,0.85,14,20,40,6
临汾,linfen,76,55,76,2.04,35,39,42,15
临夏州,linxiazhou,67,37,81,1.35,32,26,82,10
临沂,linyi,29,15,20,0.6,33,38,57,6
林芝,linzhi,39,6,11,0.25,3,73,77,3
林芝地区,linzhidiqu,18,4,16,0.35,6,51,35,3
丽水,lishui,29,20,25,0.63,24,6,46,6
六盘水,liupanshui,28,14,27,0.38,17,35,47,10
柳州,liuzhou,44,19,43,0.85,29,24,54,4
溧阳,liyang,48,24,34,1.3,37,51,94,10
陇南,longnan,57,26,62,1.15,41,1,25,10
龙岩,longyan,47,12,46,0.7,34,32,50,11
娄底,loudi,37,21,36,1.25,24,38,61,8
六安,luan,39,12,32,0.4,28,34,76,5
漯河,luohe,34,20,33,0.78,18,49,39,6
洛阳,luoyang,30,17,23,2.11,59,10,22,8
泸州,luzhou,37,18,35,0.5,37,37,73,16
吕梁,lvliang,37,20,36,1.47,50,6,29,15
马鞍山,maanshan,56,21,59,0.6,40,33,78,7
茂名,maoming,37,14,36,0.65,24,12,39,5
眉山,meishan,65,44,77,0.83,45,45,75,5
梅州,meizhou,55,20,57,0.93,30,50,70,7
绵阳,mianyang,25,6,21,0.7,28,20,49,4
牡丹江,mudanjiang,59,25,65,0.48,36,7,42,1
南昌,nanchang,53,18,54,0.87,41,13,55,6
南充,nanchong,43,22,38,0.63,22,67,84,12
南京,nanjing,53,22,53,0.76,63,24,78,6
南宁,nanning,30,13,29,0.69,39,14,49,7
南平,nanping,35,12,34,0.68,17,28,57,8
南通,nantong,63,44,71,0.82,72,33,84,18
南阳,nanyang,43,26,42,1.52,27,47,41,3
那曲地区,naqudiqu,47,20,46,0.73,9,54,66,4
内江,neijiang,34,12,26,0.88,32,42,66,2
宁波,ningbo,32,19,31,0.55,35,32,63,5
宁德,ningde,22,5,20,0.5,13,14,43,5
怒江州,nujiangzhou,41,21,40,1.1,21,15,44,5
盘锦,panjin,117,88,0,1.4,34,81,126,9
攀枝花,panzhihua,54,37,54,1.4,38,45,54,30
蓬莱,penglai,56,20,25,1.0,17,100,106,4
平顶山,pingdingshan,53,36,42,1.6,37,32,45,12
平度,pingdu,72,6,14,0.8,11,116,125,4
平凉,pingliang,58,33,64,0.75,40,14,68,6
萍乡,pingxiang,53,18,53,0.66,21,43,71,12
普洱,puer,21,9,15,0.4,14,26,40,6
莆田,putian,27,11,26,0.5,16,26,48,8
濮阳,puyang,50,35,39,1.27,18,51,55,10
黔东南州,qiandongnanzhou,19,6,9,0.55,9,30,36,6
黔南州,qiannanzhou,18,2,6,0.5,4,28,34,3
黔西南州,qianxinanzhou,18,9,14,0.9,12,15,34,4
青岛,qingdao,59,9,20,0.41,14,93,109,3
庆阳,qingyang,59,14,65,0.83,27,48,58,9
清远,qingyuan,46,24,45,0.87,51,27,67,9
秦皇岛,qinhuangdao,66,47,57,1.02,38,96,100,10
钦州,qinzhou,35,12,34,0.63,20,42,53,13
齐齐哈尔,qiqihaer,53,16,54,0.48,23,39,58,5
七台河,qitaihe,54,23,55,0.37,24,23,48,5
泉州,quanzhou,32,12,28,0.4,17,30,62,7
曲靖,qujing,41,13,40,1.15,23,15,40,13
衢州,quzhou,52,26,51,0.63,30,38,76,8
日喀则,rikaze,49,16,35,0.6,15,62,97,5
日喀则地区,rikazediqu,29,6,27,0.35,2,68,56,5
日照,rizhao,49,4,9,0.17,7,99,97,2
荣成,rongcheng,81,4,10,0.9,6,150,135,6
乳山,rushan,66,21,23,0.75,17,107,118,8
三门峡,sanmenxia,21,9,13,0.88,40,25,34,5
三明,sanming,39,12,38,0.78,25,12,55,8
三沙,sansha,30,7,20,0.3,30,51,58,6
三亚,sanya,24,11,23,0.5,9,20,24,5
上海,shanghai,60,26,43,0.84,72,41,110,5
商洛,shangluo,27,10,12,1.05,29,28,52,3
商丘,shangqiu,19,10,8,1.35,13,49,37,4
上饶,shangrao,46,24,45,0.73,16,33,69,19
山南,shannan,53,12,43,0.35,13,83,102,4
山南地区,shannandiqu,40,5,21,0.45,6,65,79,4
汕头,shantou,50,16,33,0.64,12,94,98,10
汕尾,shanwei,39,13,23,0.67,7,81,76,7
韶关,shaoguan,45,21,34,0.8,35,33,89,14
绍兴,shaoxing,72,31,91,0.72,19,79,104,6
邵阳,shaoyang,51,28,50,0.67,29,21,46,12
沈阳,shenyang,71,46,89,1.41,122,17,94,18
深圳,shenzhen,69,37,58,0.69,56,56,121,10
石河子,shihezi,44,7,34,0.5,27,55,86,5
石家庄,shijiazhuang,47,30,46,1.09,58,26,39,8
十堰,shiyan,52,25,52,1.25,22,25,35,10
石嘴山,shizuishan,71,34,85,0.8,47,82,124,22
寿光,shouguang,34,20,19,0.65,14,71,67,10
双鸭山,shuangyashan,61,33,69,3.98,29,21,51,19
朔州,shuozhou,75,48,98,1.36,64,9,73,21
四平,siping,72,43,91,1.83,104,14,121,9
松原,songyuan,53,21,54,0.4,26,38,53,3
绥化,suihua,27,15,26,0.5,17,26,32,4
遂宁,suining,45,18,33,0.55,20,46,89,8
随州,suizhou,47,30,46,0.9,17,54,78,4
宿迁,suqian,27,18,26,0.83,23,31,52,5
苏州,suzhou,56,21,43,0.49,45,57,106,4
宿州,suzhoushi,91,67,98,0.83,29,29,58,15
塔城地区,tachengdiqu,67,7,62,0.3,11,114,119,4
泰安,taian,29,16,27,1.77,57,23,24,4
太仓,taicang,76,36,49,1.05,60,45,129,8
